Timestamp,Service,Error_Category,Raw_Input_Snippet,Root_Cause
2025-11-24T08:08:05Z,LogiTrack,TYPE_MISMATCH,inventory: null,Database Error upstream
2025-11-24T08:08:10Z,SkyGuard,REGEX_MISMATCH,transponder: "7778",Format Error - 8 in octal
2025-11-24T08:08:15Z,Meteo-IL,INVALID_DATE,timestamp: "T12:00:00",Format Error - Missing Date part
2025-11-24T08:08:20Z,LogiTrack,NEGATIVE_VALUE,quantity: -1,Human Error - Decrement by one
2025-11-24T08:08:25Z,SkyGuard,SCHEMA_VALIDATION,altitude: 0,Logic Warning - Altitude 0 implies crash or taxiing
2025-11-24T08:08:30Z,Meteo-IL,GEO_OUT_OF_BOUNDS,lat: 100,Sensor Error
2025-11-24T08:08:35Z,LogiTrack,INVALID_STRING,base_id: "base_1",Case Sensitivity Error
2025-11-24T08:08:40Z,SkyGuard,TYPE_MISMATCH,signal_strength: "strong",Legacy System
2025-11-24T08:08:45Z,Meteo-IL,MISSING_FIELD,wind_speed: null,Sensor Offline
2025-11-24T08:09:00Z,LogiTrack,SCHEMA_VALIDATION,type: "MISSILE",General term used instead of specific ENUM
2025-11-24T08:09:05Z,SkyGuard,JSON_SYNTAX,{{},Malformed JSON
2025-11-24T08:09:10Z,SkyGuard,SCHEMA_VALIDATION,transponder: 1234,Type Error - Number sent instead of String
2025-11-24T08:09:15Z,LogiTrack,XSS_ATTEMPT,item_id: "<img src=x>",Security Alert
2025-11-24T08:09:20Z,Meteo-IL,TYPE_MISMATCH,visibility: true,Type Error
2025-11-24T08:09:25Z,SkyGuard,INVALID_ENUM,status: "bogus",Garbage Data
2025-11-24T08:09:30Z,LogiTrack,MISSING_FIELD,base_id: undefined,Routing Error
2025-11-24T08:09:35Z,Meteo-IL,INVALID_DATE,timestamp: 0,Reset to Epoch start
2025-11-24T08:09:40Z,SkyGuard,SCHEMA_VALIDATION,aircraft_id: "",Empty Identifier
2025-11-24T08:09:45Z,LogiTrack,NEGATIVE_VALUE,quantity: -200,Data Entry Error
2025-11-24T08:09:50Z,SkyGuard,REGEX_MISMATCH,transponder: "____",Placeholder data sent
2025-11-24T08:09:55Z,Meteo-IL,GEO_OUT_OF_BOUNDS,lon: 190,Sensor Error
